seed_name,category,purpose
abap_logic_catalog,Reference (custom code),Custom ABAP programs documented for analyst reference.
analysis_findings,Auto-generated (analyst),Per-term findings from analyst review of DARs. Written by app/pages/Data_Analysis.py.
archive_log,Audit log,Append-only audit of term archival events.
business_glossary,Application state,Business term registry. Created/edited via Business_Glossary page; Stage A blocker loader appends. Status: draft/approved/archived.
business_term_analysis_results,Auto-generated (Stage C BAR),Per-term Stage C->E bridge with declared_sufficient + validated S2T fragment. Written by scripts/_bar_writer.py.
data_contracts,Reference (governance),"Source-system contracts (expected schemas, SLAs). Hand-maintained."
data_qa_log,Audit log,Append-only audit of DQ-rule events from the Data Analysis tab.
data_vault_design,Reference (architecture),"DV 2.0 entity catalog (which hub/link/sat exists, why)."
dbt_column_lineage,Auto-generated (scanner),"One row per (model, column): source expression, transformation, origin. Powers column-level lineage. Written by scripts/scan_dbt_models.py."
dbt_model_catalog,Auto-generated (scanner),"One row per dbt model: name, layer, materialization, refs, columns. Written by scripts/scan_dbt_models.py."
dbt_model_relationships,Auto-generated (scanner),Inferred fact<->dim joinability from shared vault ancestors. Written by scripts/extract_dbt_relationships.py.
dbt_semantic_model,"Auto-generated (Layer B, deterministic)",Layer B semantic model: deterministic extraction from dbt/target/manifest.json. Per-dbt-model canonical info. Written by scripts/compile_dbt_semantic_model.py.
domain_analysis_results,Auto-generated (Stage B DAR),One row per Domain Analysis Result. Written by scripts/run_*_analysis.py (10+ analyzers). Atom of Stage B analysis.
domain_facts,Auto-generated (LLM),Per-domain summarized facts used to ground Stage B prompts. Written by scripts/refresh_domain_facts.py.
domain_reports,Auto-generated (LLM),Per-domain markdown report. Written by app/pages/Data_Analysis.py.
gl_account_master,Reference (data),"GL account dictionary for the FI shadow postings (account name, type, margin flow category). Written by generate_fi_shadows.py; read by the contribution-margin models."
ingestion_log,Audit log,Append-only ingestion event log. Drives the staleness-banner UI.
known_decisions,Knowledge graph,Append-only architectural decision log. Every model change must add a row (CLAUDE.md commit-gate rule).
known_issues,Knowledge graph,Open / resolved / wontfix issue tracker. NEXT_SESSION-tagged items are the routing surface.
org_structure,Reference (LLM context),"HT corporate structure (purchasing orgs, plants, cost centers). Hierarchical; cleanest production home is a new hub_org_unit (deferred follow-up to the seed->vault refactor)."
procurement_rules,Reference (cross-cutting policy),"Business rules (DQ thresholds, approval limits). Cross-cutting policy, not entity attributes — stays as a seed."
s2t_mapping,Application state,Source-to-target column mappings. Auto-generated by scripts/sync_s2t_from_dbt.py; Stage E appends on deploy.
sap_data_dictionary,Auto-generated + manual,"Per (table, column) classification. Written by scripts/classify_source_columns.py (LLM batch) + scripts/run_catalog_backfill.py."
sap_table_catalog,Auto-generated (scrape),"Per-table SAP metadata (purpose, category). Written by scripts/scrape_sap_catalog.py (one-shot scrape from public docs)."
semantic_model,"Auto-generated (Layer A, LLM)",Layer A semantic model: LLM-synthesized canonical conventions for raw SAP tables WITHOUT dbt ontology coverage. Written by scripts/compile_semantic_model.py.
source_column_role_changes,Audit log,Append-only diff every time source_column_roles is re-classified.
source_column_roles,Auto-generated (LLM),LLM-assigned column roles (key/measure/dimension/metadata).
term_analysis_results,Auto-generated (Stage C TAR),Per-iteration query+result for Stage C term EDA. Written by scripts/_tar_writer.py.
z_tables_catalog,Reference (custom tables),Custom Z-tables documented (Z*-prefixed).
zmm_approval_status,Reference (Z-table dictionary),Z-table reference: APPR_STATUS code dictionary (02=approved etc).
zmm_reason_codes,Reference (Z-table dictionary),Z-table reference: REASON_CODE dictionary.
seed_taxonomy,Reference (meta),Category + purpose for every seed in dbt/seeds/ - the taxonomy the Seeds Catalog page renders. Governed as a seed so it cannot drift from the seeds it describes (pinned by test_seed_taxonomy_invariant).
