id,program_name,program_type,description,tables_read,tables_written,business_rule_plain,business_rule_condition,module,transaction,called_by,last_changed_by,last_changed_date,risk_level,notes
ABAP001,ZMM_CPE_SERIAL_CHECK,User Exit (MIGO),Validates CPE serial number format at goods receipt. Rejects posting if serial doesn't match vendor-specific pattern.,MSEG;EQUI;ZHT_SERIAL_FORMAT,EQUI,"Serial number must match vendor-specific pattern: Huawei = SN-HW-{type}-{5digits}, ZTE = SN-ZTE-{6digits}, Nokia = SN-NK-{model}-{4digits}. GR is rejected with error message if pattern invalid.","IF serial NOT MATCHES vendor_pattern_from_ZHT_SERIAL_FORMAT THEN sy-subrc = 4 (reject GR posting)",MM,MIGO,EXIT_SAPMM07M_001,TNOVAK,2023-06-15,medium,Added after batch of 200 unreadable serials from ZTE in Q2 2023. Pattern table ZHT_SERIAL_FORMAT maintained by CPE team via SM30.
ABAP002,ZMM_AUTO_EQUI_CREATE,User Exit (MIGO),Automatically creates Equipment master record when CPE is received via GR (movement type 101). Links serial number to material and vendor.,MSEG;MARA;MARC;LFA1,EQUI;EQBS,"On every GR posting with movement type 101 and serial number profile HT01: create EQUI record with status AVLB (available), link to material number, set manufacturer from vendor master LFA1.NAME1, set equipment category = CPE.","IF MSEG-BWART = '101' AND MARC-SERNP = 'HT01' THEN CALL FUNCTION 'BAPI_EQUI_CREATE'",MM,MIGO,EXIT_SAPMM07M_002,TNOVAK,2023-06-15,high,Critical automation — without this user would have to manually create equipment records for every device. Creates ~500 EQUI records per month.
ABAP003,ZMM_CPE_STATUS_UPDATE,BAdI (ME_PROCESS_PO_CUST),Updates CPE equipment status when goods movement is posted. Maps movement types to lifecycle states.,MSEG;EQUI;EQBS,EQUI;EQBS,"Movement type 101 → status AVLB (available). Movement type 201 → status INST (installed). Movement type 161 → status RET (returned). Movement type 122 → status DLFL (defective). Updates both current status on EQUI and adds history row to EQBS with timestamp.","CASE MSEG-BWART: '101' → 'AVLB', '201' → 'INST', '161' → 'RET', '122' → 'DLFL'",MM,MIGO,CL_IM_ME_PROCESS_PO,JKOVIC,2024-01-20,high,Core CPE lifecycle logic. Any new movement type must be added here or equipment status becomes stale. Last updated when customer return (161) was added to the process.
ABAP004,ZMM_DUAL_SOURCE_CHECK,Enhancement (ME21N),Warns buyer if purchase order creates single-source dependency. Checks if this PO would push vendor concentration above 60% for the material group.,EKKO;EKPO;LFA1;ZHT_VENDOR_SPEND,,"Warning message (non-blocking) if: total spend for this vendor + current PO value > 60% of total spend for this material group in current fiscal year. Reads from custom aggregation table ZHT_VENDOR_SPEND refreshed nightly.",IF (vendor_ytd_spend + po_value) / matgrp_ytd_spend > 0.60 THEN message W001(ZMM) 'Vendor concentration exceeds 60%',MM,ME21N,SMOD: MM06E005,IPERIC,2024-03-10,low,Advisory only — does not block PO creation. Buyer can override. ZHT_VENDOR_SPEND refreshed by nightly job ZMM_REFRESH_SPEND_AGG.
ABAP005,ZMM_REFRESH_SPEND_AGG,Report (batch job),Nightly aggregation of vendor spend per material group per fiscal year. Feeds the dual-source check in ME21N.,EKKO;EKPO;EKBE,ZHT_VENDOR_SPEND,"Aggregates EKPO.NETWR grouped by EKKO.LIFNR and EKPO.MATKL and fiscal year. Only counts PO items with at least one GR posting in EKBE (confirmed deliveries not just orders). Runs every night at 02:00.","SELECT LIFNR, MATKL, GJAHR, SUM(NETWR) FROM EKPO JOIN EKKO JOIN EKBE GROUP BY ... → INSERT INTO ZHT_VENDOR_SPEND",MM,SM36 (background),Scheduled job,ADMIN,2024-03-10,low,Companion to ABAP004. If this job fails the dual-source check uses stale data — no alert exists for job failure. Known gap.
ABAP006,ZMM_GR_QUANTITY_TOLERANCE,User Exit (MIGO),Enforces goods receipt quantity tolerance. Rejects GR if received quantity exceeds PO quantity by more than 5%.,MSEG;EKPO,,"GR quantity must be <= PO ordered quantity * 1.05. Over-deliveries beyond 5% are rejected with error. Partial deliveries are always allowed. Tolerance of 5% was set by Head of Logistics in 2022.",IF MSEG-MENGE > EKPO-MENGE * 1.05 THEN sy-subrc = 4 (reject),MM,MIGO,EXIT_SAPMM07M_001,DVUKOVIC,2022-08-22,medium,5% tolerance is business decision not SAP standard. Some vendors consistently deliver +2-3% as buffer. Finance approved this tolerance.
ABAP007,ZMM_AUTO_PR_FROM_STOCK,Report (MRP enhancement),Automatically creates purchase requisitions when CPE stock drops below reorder point. Runs as part of MRP planning run.,MARD;MARC;EBAN,EBAN;EBKN,"For each material where MARD.LABST < reorder_point (from MARC or custom table ZHT_REORDER_POINTS): create EBAN with quantity = (target_stock - current_stock). Sets EBAN.ESTKZ = 'B' (MRP-generated). Cost center from plant mapping.",IF MARD-LABST < ZHT_REORDER_POINTS-MINBE THEN CREATE PR quantity = (MAXBE - LABST),MM,MD01/MD02,MRP run,ABANIC,2023-11-05,medium,"Reorder points maintained in ZHT_REORDER_POINTS (not standard MARC-MINBE). CPE team updates quarterly based on demand forecast. Routers: 500 units, ONTs: 300, STBs: 200."
ABAP008,ZMM_VENDOR_EVAL_SCORE,Report (periodic),Calculates vendor performance scores: on-time delivery rate and defect rate. Stores in custom table for dashboard consumption.,EKKO;EKPO;EKET;EKBE;MKPF;MSEG,ZHT_VENDOR_SCORES,"For each vendor per quarter: (1) OTD = count(GR date <= EKET delivery date + 2 days) / count(all GR). (2) Defect rate = count(movement type 122 within 90 days of mvt 101) / count(mvt 101). (3) Overall score = OTD * 0.6 + (1 - defect_rate) * 0.4. Grade: A >= 0.90, B >= 0.75, C >= 0.60, D < 0.60.","OTD = SUM(CASE WHEN gr_date <= eket_eindt + 2 THEN 1) / COUNT(*); defect = SUM(CASE WHEN bwart='122' AND days<=90) / SUM(CASE WHEN bwart='101')",MM,SA38,Quarterly batch,IPERIC,2025-01-15,low,Scoring weights (60% OTD / 40% quality) set by Head of Supply Chain. Grade D triggers vendor review meeting. This is the source for our vendor_scorecard data product.
ABAP009,ZSD_CPE_PROVISIONING_TRIGGER,RFC Function Module,Sends provisioning request to OSS system when CPE deployment (mvt 201) is posted. Contains customer location and service parameters.,MSEG;EQUI;ZHT_CUST_INSTALL,,"When movement type 201 is posted: read equipment serial from MSEG, look up customer installation details from ZHT_CUST_INSTALL (address, service type, bandwidth), call RFC to OSS provisioning system with: serial number, customer ID, service package, requested activation date.",IF MSEG-BWART = '201' THEN CALL FUNCTION 'ZHT_RFC_PROVISION' EXPORTING serial customer_id service_pkg,MM/SD,MIGO (implicit),Called from ZMM_CPE_STATUS_UPDATE,MTOMIC,2024-06-01,critical,"This is the SAP-to-OSS bridge. If this RFC fails the CPE is physically installed but not provisioned — customer has no service. Error handling: writes to ZHT_PROVISION_LOG, retry queue checked every 15 minutes by ZSD_PROVISION_RETRY."
ABAP010,ZSD_PROVISION_RETRY,Report (background),Retries failed provisioning requests from ZHT_PROVISION_LOG. Runs every 15 minutes.,ZHT_PROVISION_LOG,ZHT_PROVISION_LOG,"Reads entries with status = 'FAILED' and retry_count < 5. Calls ZHT_RFC_PROVISION again. On success: status = 'COMPLETED'. On failure: increment retry_count. After 5 failures: status = 'MANUAL_REVIEW', sends email to provisioning team.",SELECT * FROM ZHT_PROVISION_LOG WHERE status = 'FAILED' AND retry_count < 5,SD,SM36 (background),Scheduled every 15min,MTOMIC,2024-06-01,critical,5 retries * 15 min = max 75 min before escalation. In practice most failures are transient network issues resolved on retry 1-2. Persistent failures usually mean OSS system is down.
