id,table_name,description,key_fields,important_fields,maintained_by,maintenance_transaction,refresh_frequency,rows_estimate,referenced_by_programs,notes
ZT001,ZHT_SERIAL_FORMAT,Vendor-specific serial number patterns for CPE validation,LIFNR;MATNR_PREFIX,PATTERN;DESCRIPTION,CPE Team,SM30,As needed (when new vendor onboarded),24,ABAP001,One row per vendor per material prefix. Pattern uses SAP regex syntax.
ZT002,ZHT_VENDOR_SPEND,Aggregated vendor spend per material group per fiscal year,LIFNR;MATKL;GJAHR,TOTAL_SPEND;PO_COUNT;GR_COUNT,System (batch job),N/A,Nightly by ABAP005,~200,ABAP004;ABAP005,Truncated and rebuilt every night. Source for dual-source concentration check.
ZT003,ZHT_REORDER_POINTS,CPE reorder points and target stock levels per material per plant,MATNR;WERKS,MINBE;MAXBE;SAFETY_DAYS,CPE Planning Team,SM30,Quarterly review,40,ABAP007,Overrides standard MARC-MINBE. CPE team prefers separate table for easier maintenance and audit trail.
ZT004,ZHT_VENDOR_SCORES,Calculated vendor performance scores per quarter,LIFNR;GJAHR;PERIOD,OTD_RATE;DEFECT_RATE;OVERALL_SCORE;GRADE,System (batch job),N/A,Quarterly by ABAP008,~120,ABAP008,Source for vendor_scorecard data product. Historical scores kept for trend analysis.
ZT005,ZHT_CUST_INSTALL,Customer CPE installation details for provisioning,EQUNR;KUNNR,ADDRESS;SERVICE_TYPE;BANDWIDTH;ACTIVATION_DATE,Field technician (mobile app),Custom Fiori app,Real-time,~35000,ABAP009,Populated by field technician app when CPE is installed. Links equipment to customer and service parameters.
ZT006,ZHT_PROVISION_LOG,Provisioning request log with status tracking,EQUNR;REQUEST_ID,STATUS;RETRY_COUNT;ERROR_MSG;CREATED_AT;COMPLETED_AT,System,N/A,Real-time by ABAP009/ABAP010,~40000,ABAP009;ABAP010,"Status values: PENDING, COMPLETED, FAILED, MANUAL_REVIEW. Retained 12 months then archived."
ZT007,ZHT_PLANT_CAPACITY,Maximum storage capacity per storage location per material group,WERKS;LGORT;MATKL,MAX_CAPACITY;CURRENT_ALLOC,Warehouse Management,SM30,Monthly review,35,ABAP011,Prevents regional warehouse overflow. Zagreb HT10 has effectively unlimited capacity (set to 999999).
ZT008,ZHT_MATERIAL_AUTH,Authorized materials per plant — controls what can be stored where,MATNR;WERKS,AUTH_STATUS;VALID_FROM;VALID_TO,CPE Planning Team,SM30,As needed,60,ABAP011,Regional warehouses restricted to high-volume CPE only. Enterprise equipment stays in Zagreb.
ZT009,ZHT_WARRANTY_LOG,CPE warranty tracking with start and end dates,EQUNR;MATNR,WARRANTY_START;WARRANTY_END;VENDOR;CLAIM_STATUS,System + Quality team,N/A (system) / SM30 (claims),Real-time by ABAP013,~45000,ABAP013,Claim statuses: ACTIVE (within warranty) EXPIRED CLAIMED (return filed) RESOLVED. Quality team updates claim status manually.
ZT010,ZHT_PLANT_CC_MAP,Plant to cost center mapping for automatic PO account assignment,WERKS,KOSTL;DESCRIPTION,Controlling team,SM30,As needed,4,ABAP014,Simple 4-row table. Rarely changes. If new plant opened this needs updating or PO gets no cost center.
ZT011,ZHT_CPE_LIFECYCLE,Expected lifecycle months per material type for depreciation calculation,MATNR,LIFECYCLE_MONTHS;DEPRECIATION_METHOD,Finance + CPE team,SM30,Annual review,10,ABAP016,"Matches cpe_catalog seed values: routers 48mo, ONTs 60mo, STBs 36mo, switches 72mo, modems 48mo."
