id,business_term_id,business_term_name,source_table,source_field,source_description,target_model,target_column,transformation_logic_plain,transformation_logic_sql,join_description,filter_description,notes,transformation_logic_plain_business
S001,BG001,avg_vendor_lead_time,EKKO,BEDAT,PO creation date,fact_purchase_orders,po_date,"This column is a straight pass-through of the document date from the purchase order header, converted to a standard date format.",CAST(BEDAT AS DATE),Header table — one row per PO,All PO types (BSART),,The date when the purchase order was created.
S002,BG001,avg_vendor_lead_time,EKKO,LIFNR,Vendor account number,fact_purchase_orders,vendor_id,This column carries the vendor account number directly from SAP field EKKO.LIFNR without any modification through the data pipeline.,,Header table — join to hub_vendor,All vendors,,The unique identifier for the supplier who provides goods or services to the company.
S003,BG001,avg_vendor_lead_time,MKPF,BUDAT,GR posting date,fact_purchase_orders,first_gr_date,"Carries the GR posting date as recorded in MKPF.BUDAT, flowing through staging, vault, and mart layers unchanged to represent the date of the first goods receipt against a purchase order.",,Header of material document,Only GR documents,,The date when goods were first physically received at the warehouse against a purchase order.
S004,BG001,avg_vendor_lead_time,MSEG,EBELN,PO reference on GR,fact_purchase_orders,lead_time_days,"This column calculates the number of days between the purchase order date and the first goods receipt date for each purchase order, representing the actual vendor lead time.","CASE WHEN fgr.first_gr_date IS NOT NULL AND ph.po_date IS NOT NULL
        THEN CAST(fgr.first_gr_date - ph.po_date AS INTEGER)
        ELSE NULL
    END",MSEG.EBELN = EKKO.EBELN,Movement type 101 only — exclude reversals (102) and returns (122),Core calculation: date difference between PO and GR,The number of days it took for the supplier to deliver goods after the purchase order was placed.
S007,BG003,cpe_defect_rate,MSEG,BWART,Movement type,fact_goods_movements,movement_category,"This column converts SAP movement type codes into descriptive business categories, such as mapping code '101' to 'goods_receipt' and code '102' to 'gr_reversal', with any unmapped codes defaulting to 'other'.","CASE
        WHEN gri.movement_type = '101' THEN 'goods_receipt'
        WHEN gri.movement_type = '102' THEN 'gr_reversal'
        WHEN gri.movement_type = '122' THEN 'vendor_return'
        WHEN gri.movement_type = '161' THEN 'customer_return'
        WHEN gri.movement_type = '201' THEN 'deployment'
        WHEN gri.movement_type = '202' THEN 'gi_reversal'
        WHEN gri.movement_type = '301' THEN 'plant_transfer'
        WHEN gri.movement_type = '561' THEN 'initial_stock'
        ELSE 'other'
    END",,Category 'vendor_return' isolates CPEs returned to the supplier — the numerator for cpe_defect_rate,,"The type of inventory movement that occurred, such as receiving goods from a supplier, returning items to a vendor, or transferring stock between locations."
S008,BG003,cpe_defect_rate,EQUI,ERDAT,Equipment receipt date,dim_equipment,days_since_receipt,"This column calculates the number of days between the equipment's creation date and today's date, returning null if no creation date exists.","CASE WHEN g.created_date IS NOT NULL
        THEN CAST(CURRENT_DATE - g.created_date AS INTEGER)
        ELSE NULL
    END",dim_equipment materializes days_since_receipt directly from EQUI,All equipment,90-day window is quality policy,The number of days that have passed since goods were first received for this order.
S009,BG004,inventory_turnover_ratio,MARD,LABST,Unrestricted stock,fact_inventory,unrestricted_stock,"This column represents the unrestricted stock quantity from the material master plant data, converted to a decimal format with 3 decimal places for precise inventory calculations.","CAST(LABST AS DECIMAL(13,3))",,Exclude blocked and QI stock,,The quantity of goods available for sale or use that are not reserved or restricted for specific purposes.
S010,BG004,inventory_turnover_ratio,MSEG,MENGE,Issued quantity,fact_goods_movements,signed_quantity,"This column shows the positive quantity for goods receipts (movement types 101, 161, 202, 561) and negative quantity for goods issues (movement types 102, 122, 201), with all other movement types set to zero.","CASE
        WHEN gri.movement_type IN ('101', '161', '202', '561') THEN gri.quantity
        WHEN gri.movement_type IN ('102', '122', '201') THEN -1 * gri.quantity
        ELSE 0
    END",,Movement type 201 = goods issue to cost center,,"The quantity of inventory added to or removed from stock, with positive numbers for goods received and negative numbers for goods returned or transferred out."
S011,BG005,days_of_stock,MARD,LABST,Current stock,obt_inventory_health,total_stock,"The total stock is the sum of unrestricted stock, quality inspection stock, and blocked stock from the material master, converted to a decimal format.","CAST(LABST + INSME + SPEME AS DECIMAL(13,3))",,Non-negative only,,"The total quantity of materials currently available in the warehouse, including both unrestricted stock and quality inspection stock."
S012,BG005,days_of_stock,MSEG,MENGE,Daily consumption,fact_goods_movements,quantity,The column represents the average quantity of goods issued to cost centers (movement type 201) across all relevant transactions.,AVG(quantity) FILTER (WHERE movement_type='201'),,Movement type 201 only,,The average amount of goods moved into inventory during stock receipts.
S013,BG006,cpe_lifecycle_status,EQUI,EQUNR,Equipment number,dim_equipment,hk_equipment,This column carries the equipment number directly from SAP field EQUI.EQUNR through all pipeline layers unchanged to serve as the primary identifier for equipment records.,,,All equipment,,The unique identifier that tracks each piece of equipment throughout its entire lifecycle.
S014,BG006,cpe_lifecycle_status,EQBS,USTXT,Status description,dim_equipment,lifecycle_status,"The lifecycle_status column maps SAP equipment status codes to business-friendly labels, such as 'INST' to 'deployed' and 'AVLB' to 'in_stock', with any unmapped codes defaulting to 'unknown'.","CASE
        WHEN ls.status_code = 'INST' THEN 'deployed'
        WHEN ls.status_code = 'AVLB' THEN 'in_stock'
        WHEN ls.status_code = 'RET' THEN 'returned'
        WHEN ls.status_code = 'DLFL' THEN 'defective'
        ELSE 'unknown'
    END",,Latest status by timestamp,,"The current status of the equipment showing whether it's actively deployed, available in inventory, returned from use, or defective."
S015,BG008,purchase_order_cycle_time,EBAN,BADAT,PR creation date,fact_purchase_orders,pr_date,"This column contains the purchase requisition date from the SAP purchase requisition document, converted to a standard date format.",CAST(BADAT AS DATE),EBAN.BANFN = EKPO.BANFN,Only PRs that converted to POs,,The date when the purchase request was first submitted for approval.
