id,model_name,layer,file_path,materialization,unique_key,description,grain,source_tables,ref_models,joins,filters,column_count,scanned_at
M001,knowledge_blocker_state,knowledge,models\knowledge\knowledge_blocker_state.sql,view,,,,,,LEFT JOIN resolutions,"status IN (
            'scope_confirmed', 'domain_eda_pending',
            'term_eda_pending', 're; scope_derivation_history_json IS NOT NULL; scope_derivation_history_json NOT IN ('', '{}')
),

iterations_indexed AS (
    SELECT
        t.ter",13,2026-07-07 11:52
M002,knowledge_cpe_lifecycle_metrics,knowledge,models\knowledge\knowledge_cpe_lifecycle_metrics.sql,view,,Knowledge: CPE Lifecycle Metrics per equipment category.,,,dim_equipment; dim_material,LEFT JOIN JINJA_EXPR,,12,2026-07-07 11:52
M003,knowledge_inventory_alerts,knowledge,models\knowledge\knowledge_inventory_alerts.sql,view,,Knowledge: Inventory Alerts — flagged locations needing attention.,,,fact_inventory; dim_material; dim_plant,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,fi.unrestricted_stock = 0 OR fi.blocked_stock > 0 OR fi.unrestricted_stock > 5000,12,2026-07-07 11:52
M004,knowledge_pipeline_summary,knowledge,models\knowledge\knowledge_pipeline_summary.sql,view,,Knowledge: Pipeline Summary — object counts per layer.,,,,,"table_schema = 'raw_sap'
    UNION ALL
    SELECT 'staging', COUNT(*)
    FROM information_schema.ta",3,2026-07-07 11:52
M005,knowledge_procurement_health,knowledge,models\knowledge\knowledge_procurement_health.sql,view,,Knowledge: Procurement Health Dashboard,,,fact_purchase_orders; obt_vendor_scorecard; fact_inventory,,,19,2026-07-07 11:52
M006,knowledge_vendor_performance,knowledge,models\knowledge\knowledge_vendor_performance.sql,view,,Knowledge: Vendor Performance Summary — one row per vendor with grade.,,,dim_vendor; fact_purchase_orders,LEFT JOIN JINJA_EXPR,,14,2026-07-07 11:52
M007,dim_customer,marts,models\marts\dim_customer.sql,table,,Dimension: Customer — hub_customer + latest sat_customer.,,,hub_customer; sat_customer; sat_customer,LEFT JOIN JINJA_EXPR,hk_customer = h.hk_customer),11,2026-07-07 11:52
M008,dim_date,marts,models\marts\dim_date.sql,table,,Dimension: Date — generated calendar covering 2016-01-01 to 2027-12-31,,,,,,14,2026-07-07 11:52
M009,dim_equipment,marts,models\marts\dim_equipment.sql,table,,Dimension: Equipment — current state per CPE device.,,,sat_equipment_status; hub_equipment; sat_equipment_general; sat_equipment_general; link_equipment_material,LEFT JOIN JINJA_EXPR; LEFT JOIN latest_status; LEFT JOIN JINJA_EXPR,"hk_equipment = h.hk_equipment)
LEFT JOIN latest_status ls
    ON h.hk_equipment = ls.hk_equipment; ls.rn = 1
LEFT JOIN JINJA_EXPR lm
    ON h.hk_equipment = lm.hk_equipment",18,2026-07-07 11:52
M010,dim_material,marts,models\marts\dim_material.sql,table,,Dimension: Material (CPE type) — hub_material + latest general + latest description.,,,hub_material; sat_material_general; sat_material_general; sat_material_description; sat_material_description,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,"hk_material = h.hk_material)
LEFT JOIN JINJA_EXPR d
    ON h.hk_material = d.hk_material; d.load_date = (SELECT MAX(load_date) FROM JINJA_EXPR WHERE hk_material = h.hk_material)",15,2026-07-07 11:52
M011,dim_movement_type,marts,models\marts\dim_movement_type.sql,table,,Dimension: Movement Type — RULE 3 compliant (vault-sourced).,,,sat_movement_type; sat_movement_type; sat_movement_type_text; sat_movement_type_text; hub_movement_type,INNER JOIN mt_cfg; LEFT JOIN text_en; LEFT JOIN text_hr,"load_date = (SELECT MAX(load_date) FROM JINJA_EXPR)
),

mt_text AS (
    SELECT *
    FROM JINJA_EXP",7,2026-07-07 11:52
M012,dim_plant,marts,models\marts\dim_plant.sql,table,,Dimension: Plant — hub_plant + raw org structure reference.,,raw_sap.t001w; raw_sap.t001,hub_plant,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,,9,2026-07-07 11:52
M013,dim_service_plan,marts,models\marts\dim_service_plan.sql,table,,Dimension: Service Plan — hub_service_plan + latest sat_service_plan.,,,hub_service_plan; sat_service_plan; sat_service_plan,LEFT JOIN JINJA_EXPR,hk_service_plan = h.hk_service_plan),7,2026-07-07 11:52
M014,dim_storage_location,marts,models\marts\dim_storage_location.sql,table,,Dimension: Storage Location — raw org structure.,,raw_sap.t001l; raw_sap.t001w,,LEFT JOIN JINJA_EXPR,,6,2026-07-07 11:52
M015,dim_vendor,marts,models\marts\dim_vendor.sql,table,,Dimension: Vendor — hub_vendor + latest sat_vendor_general + latest sat_vendor_commercial.,,,hub_vendor; sat_vendor_general; sat_vendor_general; sat_vendor_commercial; sat_vendor_commercial,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,"hk_vendor = h.hk_vendor)
LEFT JOIN JINJA_EXPR c
    ON h.hk_vendor = c.hk_vendor; c.load_date = (SELECT MAX(load_date) FROM JINJA_EXPR WHERE hk_vendor = h.hk_vendor)",14,2026-07-07 11:52
M016,fact_contribution_margin_by_segment,marts,models\marts\fact_contribution_margin_by_segment.sql,table,,,,,sat_billing_document; link_billing_sales_order; sat_billing_document; link_sales_order_equipment; sat_sales_order_item; sat_equipment_general; link_sales_order_equipment; link_equipment_gr; link_gr_po; link_po_material; sat_po_item,LEFT JOIN tenure_anchor; LEFT JOIN so_device; LEFT JOIN device_deploy; LEFT JOIN device_cost,"COALESCE(sbd.cancelled_flag, '') != 'X'
),


tenure_anchor AS (
    SELECT
        sbd.payer_id     ; sbd.billing_date IS NOT NULL",8,2026-07-07 11:52
M017,fact_equipment_lifecycle,marts,models\marts\fact_equipment_lifecycle.sql,table,,Fact: Equipment Lifecycle Events — grain = equipment × status change.,,,sat_equipment_status; hub_equipment; sat_equipment_general; sat_equipment_general; link_equipment_material,INNER JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,"hk_equipment = sh.hk_equipment)
LEFT JOIN JINJA_EXPR lem ON sh.hk_equipment = lem.hk_equipment",17,2026-07-07 11:52
M018,fact_goods_movements,marts,models\marts\fact_goods_movements.sql,table,,Fact: Goods Movements — grain = material document item.,,,link_gr_material; hub_material_document; sat_gr_header; sat_gr_item,INNER JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,,27,2026-07-07 11:52
M019,fact_goods_receipt_accuracy,marts,models\marts\fact_goods_receipt_accuracy.sql,table,,Fact: Goods Receipt Accuracy — grain = vendor × quarter.,,,sat_gr_item; sat_gr_item; sat_gr_header; sat_gr_header; sat_po_item; sat_po_item; link_gr_material; link_po_material,INNER JOIN gr_item; INNER JOIN gr_header; INNER JOIN JINJA_EXPR; INNER JOIN po_item,"load_date = (SELECT MAX(load_date) FROM JINJA_EXPR)
),

gr_header AS (
    SELECT *
    FROM JINJA_E; gri.po_item_number = lpm.po_item_number; lgm.material_number = lpm.material_number
    JOIN po_item pi
        ON lpm.hk_po_material = pi.hk_; gri.purchase_order_number IS NOT NULL; gri.vendor_id IS",7,2026-07-07 11:52
M020,fact_goods_receipts_monthly,marts,models\marts\fact_goods_receipts_monthly.sql,table,,Fact: Goods Receipts by Month — grain = posting month.,,,sat_gr_item; sat_gr_item; sat_gr_header; sat_gr_header; link_gr_material,INNER JOIN gr_item; INNER JOIN gr_header,"load_date = (SELECT MAX(load_date) FROM JINJA_EXPR)
),

gr_header AS (
    SELECT *
    FROM JINJA_E",5,2026-07-07 11:52
M021,fact_inventory,marts,models\marts\fact_inventory.sql,table,,Fact: Current Inventory — grain = material × plant × storage location.,,,sat_stock_level; hub_material; hub_plant; sat_stock_level,INNER JOIN JINJA_EXPR; INNER JOIN JINJA_EXPR,sl.load_date = (SELECT MAX(load_date) FROM JINJA_EXPR),14,2026-07-07 11:52
M022,fact_invoices,marts,models\marts\fact_invoices.sql,table,,Fact: Invoices — grain = invoice.,,,hub_invoice; sat_invoice_header; sat_invoice_header; link_invoice_po; sat_po_header; sat_po_header,LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR; LEFT JOIN JINJA_EXPR,"hk_invoice = hi.hk_invoice)
LEFT JOIN JINJA_EXPR lip ON hi.hk_invoice = lip.hk_invoice
LEFT JOIN JIN; ph.load_date = (SELECT MAX(load_date) FROM JINJA_EXPR WHERE hk_purchase_order = lip.hk_purchase_orde",14,2026-07-07 11:52
M023,fact_po_invoice_match_variance,marts,models\marts\fact_po_invoice_match_variance.sql,table,,Fact: PO ↔ GR ↔ Invoice 3-way match variance — grain = vendor × month.,,,sat_po_header; sat_po_header; sat_po_item; sat_po_item; sat_gr_item; sat_gr_item; sat_invoice_item; sat_invoice_item; sat_zmm_approval; sat_zmm_approval; link_po_material; link_po_vendor,INNER JOIN po_header; INNER JOIN po_item; INNER JOIN JINJA_EXPR; LEFT JOIN gr_agg; LEFT JOIN invoice_agg; LEFT JOIN exceptions,"load_date = (SELECT MAX(load_date) FROM JINJA_EXPR)
),

po_item AS (
    SELECT * FROM JINJA_EXPR
  ; gri.quantity > 0; gri.purchase_order_number IS NOT NULL; gri.purchase_order_number != ''",7,2026-07-07 11:52
M024,fact_purchase_orders,marts,models\marts\fact_purchase_orders.sql,table,,Fact: Purchase Orders — grain = PO item.,,,sat_po_header; sat_po_header; sat_po_item; sat_po_item; sat_po_schedule; sat_po_schedule; sat_po_account; sat_po_account; link_gr_po; sat_gr_header; sat_gr_item; link_pr_po; sat_pr_detail; link_po_vendor; link_po_material,INNER JOIN JINJA_EXPR; INNER JOIN JINJA_EXPR; LEFT JOIN po_header; LEFT JOIN po_items; LEFT JOIN po_schedule; LEFT JOIN po_account; LEFT JOIN po_vendor; LEFT JOIN first_gr; LEFT JOIN gr_totals; LEFT JOIN pr_dates,"load_date = (SELECT MAX(load_date) FROM JINJA_EXPR)
),

po_items AS (
    SELECT * FROM JINJA_EXPR
 ",40,2026-07-07 11:52
M025,obt_cpe_contribution_margin_by_segment,obt,models\obt\obt_cpe_contribution_margin_by_segment.sql,view,,,,,fact_contribution_margin_by_segment,,,13,2026-07-07 11:52
M026,obt_cpe_lifecycle,obt,models\obt\obt_cpe_lifecycle.sql,view,,OBT: CPE Lifecycle — equipment with material context.,,,dim_equipment; dim_material,LEFT JOIN JINJA_EXPR,,16,2026-07-07 11:52
