id,term_name,display_name,definition,unit,grain,owner,approved_by,status,domain,related_terms,notes,created_date,business_join_description,business_filter_description,archive_id,archived_at_utc,archived_reason_code,archived_reason_text,scope_derivation_history_json
BG001,avg_vendor_lead_time,Average Vendor Lead Time,"Average calendar days between purchase order creation and goods receipt posting, per vendor per month",days,vendor × month,Procurement Department,Head of Supply Chain,approved,procurement,on_time_delivery_rate;vendor_scorecard,Excludes GR reversals (mvt 102). Nulls = open POs without GR yet.,2026-04-13,Purchase order information is linked with vendor details and goods receipt records to track when orders are placed and when materials are first received,All purchase orders with valid dates; All vendors; All goods receipts that can be matched to purchase orders,,,,,{}
BG002,on_time_delivery_rate,On-Time Delivery Rate,"Percentage of purchase order items where goods receipt was posted within the agreed delivery date, per vendor per quarter",percent,vendor × quarter,Procurement Department,Head of Supply Chain,approved,procurement,avg_vendor_lead_time;vendor_scorecard,Delivery date from EKET schedule line. Tolerance: +2 calendar days.,2026-04-13,Purchase order scheduling information is linked to goods receipt records to compare planned versus actual delivery timing,All purchase orders with scheduled delivery dates; deliveries within 2-day tolerance are considered on-time,,,,,{}
BG003,cpe_defect_rate,CPE Defect Rate,"Percentage of CPE devices returned to vendor (movement type 122) within 90 days of goods receipt, per material per vendor per quarter",percent,material × vendor × quarter,Quality Management,Head of Technical Operations,approved,quality,vendor_scorecard;cpe_lifecycle_status,Only counts returns within 90d of GR. Excludes customer-initiated returns (mvt 161).,2026-04-13,Equipment records are linked with their general information and material details to track device lifecycle timing.,All CPE devices regardless of current status or location; days calculated from when each device was first received into inventory,,,,,{}
BG004,inventory_turnover_ratio,Inventory Turnover Ratio,"Number of times average CPE inventory is sold/deployed in a period. Calculated as total goods issues (mvt 201) divided by average stock level, per material group per quarter",ratio,material_group × quarter,Warehouse Management,Head of Logistics,approved,inventory,days_of_stock;reorder_point,Higher = better. Target varies by CPE type: routers >4x/year ONTs >3x/year STBs >2x/year.,2026-04-13,Material movement records are linked with their corresponding document headers to capture both the transaction details and timing information.,"Goods issues to cost center (movement type 201) only for the numerator — the metric is calculated as SUM(quantity) WHERE BWART='201'. The denominator is the current inventory snapshot from sat_stock_level (most recent load), not a movement-derived stock total. Other movement types (receipts, returns, transfers, reversals) are excluded from the ratio.",,,,,{}
BG005,days_of_stock,Days of Stock (DOS),Average number of days current stock level would last based on trailing 30-day average daily consumption (goods issues mvt 201),days,material × plant,Warehouse Management,Head of Logistics,approved,inventory,inventory_turnover_ratio;reorder_point,Below safety stock threshold (14 days) triggers reorder alert.,2026-04-13,Material movement records are linked with material documents to track inventory transactions and their quantities,All types of material movements and their quantities are included; No specific filters apply to restrict the stock totals or quantities,,,,,{}
BG006,cpe_lifecycle_status,CPE Lifecycle Status,Current status of an individual CPE device: in_stock (received not deployed) | deployed (issued to customer) | returned (back from customer) | defective (failed QA or returned defective) | scrapped (end of life),enum,equipment (serial number),Asset Management,Head of Technical Operations,approved,equipment,cpe_defect_rate,Derived from latest movement type in MSEG + equipment status in EQBS.,2026-04-13,Equipment records are linked with their most recent status information to show the current lifecycle stage of each device.,All CPE equipment devices; Most recent status record for each device,,,,,{}
BG007,total_cost_of_ownership,Total Cost of Ownership (TCO),"Full lifecycle cost per CPE unit: procurement cost + warehousing cost allocation + installation cost + return/repair cost, per material per year",EUR,material × year,Finance,CFO,draft,cost_analysis,,Warehousing cost = (avg days in stock × daily warehouse cost per unit). Installation cost from service order. Repair cost from vendor return credit notes.,2026-04-13,,,,,,,"{""iterations"": [{""iter_num"": 1, ""mode"": ""propose"", ""timestamp"": ""2026-04-22T10:25:22"", ""analyst_instruction"": null, ""llm_response"": {""proposed_tables"": [""ekko"", ""ekpo"", ""ekbe"", ""mard"", ""ser01"", ""rbkp"", ""rseg""], ""primary_field_per_table"": {""ekko"": ""BEDAT"", ""ekpo"": ""NETWR"", ""ekbe"": ""DMBTR"", ""mard"": ""LABST"", ""ser01"": ""MENGE"", ""rbkp"": ""RMWWR"", ""rseg"": ""WRBTR""}, ""rationale_per_table"": {""ekko"": ""Purchase order header — carries BEDAT (PO creation date) for year dimension and LIFNR for vendor linking."", ""ekpo"": ""Purchase order line — provides NETWR (net value) for procurement cost component and material identification."", ""ekbe"": ""PO history — bridges to goods receipts and provides transaction amounts for warehousing cost calculations."", ""mard"": ""Stock levels by location — needed for average days in stock calculation for warehousing cost allocation."", ""ser01"": ""Service order components — carries installation cost from service orders as specified in notes."", ""rbkp"": ""Invoice header — links to vendor return transactions for repair cost component."", ""rseg"": ""Invoice line items — provides repair cost amounts from vendor return credit notes.""}, ""join_path"": [{""from"": ""ekko"", ""to"": ""ekpo"", ""keys"": [""EBELN""]}, {""from"": ""ekpo"", ""to"": ""ekbe"", ""keys"": [""EBELN"", ""EBELP""]}, {""from"": ""ekpo"", ""to"": ""mard"", ""keys"": [""MATNR"", ""WERKS""]}, {""from"": ""ekpo"", ""to"": ""ser01"", ""keys"": [""MATNR""]}, {""from"": ""ekko"", ""to"": ""rbkp"", ""keys"": [""EBELN""]}, {""from"": ""rbkp"", ""to"": ""rseg"", ""keys"": [""BELNR"", ""GJAHR""]}], ""blockers"": [{""type"": ""missing_domain_eda"", ""tables"": [""ser01""], ""short_title"": ""Service order cost analysis missing"", ""what_it_means"": ""SER01 contains service order line items that should include installation costs for CPE (Customer Premises Equipment). This table has no domain analysis yet, so we don't know the data quality, typical cost ranges, or how to identify installation-specific service orders versus other maintenance activities."", ""what_llm_needs"": ""Distribution analysis of SER01.MENGE and related cost fields, plus sample rows showing service order types and their relationship to CPE installation activities."", ""resolves_in"": ""domain_eda"", ""resolves_via"": ""Domain EDA analyzes SER01 structure, produces distinct values for service types, cost distributions, and sample records that Term EDA will use to filter for installation-related services."", ""user_action_now"": ""Confirm scope as-is, then run Domain EDA on all proposed tables to analyze service order patterns and cost components.""}, {""type"": ""scope_concern"", ""tables"": [""mard"", ""ser01"", ""rbkp""], ""short_title"": ""Cost allocation methodology unclear"", ""what_it_means"": ""The term requires complex cost calculations (daily warehouse cost per unit, installation cost identification, repair cost from credit notes) but the proposed tables may not contain sufficient detail for these allocations. MARD provides stock quantities but no warehouse cost rates, SER01 links to materials but may not isolate installation costs, and RBKP/RSEG may include non-repair invoices."", ""what_llm_needs"": ""Analysis of how warehouse daily costs are calculated from stock levels, how service orders distinguish installation from other activities, and how to identify repair-specific credit notes versus normal procurement returns."", ""resolves_in"": ""term_eda"", ""resolves_via"": ""Term EDA synthesizes Domain EDA outputs across all cost components, applies business logic from the term definition to create filtering rules (e.g., service order types for installation, credit note types for repairs), and produces cost allocation methodology."", ""user_action_now"": ""Confirm scope, then after Domain EDA completes, Term EDA will resolve the cost calculation methodology using business rules from the term definition.""}], ""attestation_echo"": {""consumed_sap_data_dictionary_entries"": [""ekko.BEDAT"", ""ekko.LIFNR"", ""ekpo.NETWR"", ""ekpo.MATNR"", ""ekbe.DMBTR"", ""mard.LABST"", ""ser01.MENGE"", ""rbkp.RMWWR"", ""rseg.WRBTR""], ""consumed_source_column_roles_entries"": [""ekko.BEDAT"", ""ekko.LIFNR"", ""ekpo.NETWR"", ""ekbe.DMBTR"", ""mard.LABST"", ""ser01.MENGE"", ""rbkp.RMWWR"", ""rseg.WRBTR""], ""consumed_business_glossary_fields"": [""definition"", ""grain"", ""notes""]}, ""confidence"": ""medium"", ""confidence_rationale"": ""Core procurement cost concepts map clearly to EKKO/EKPO/EKBE, but the three additional cost components (warehousing allocation, installation costs, repair costs) require domain analysis to confirm data availability and quality in MARD, SER01, and RBKP/RSEG."", ""diff_from_prior"": null, ""reasoning_for_diff"": null}, ""validation_issues"": [], ""analyst_action"": null, ""usage"": {""input_tokens"": 15637, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 2857, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 1352, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}]}"
BG008,purchase_order_cycle_time,PO Cycle Time,"Calendar days from purchase requisition creation (EBAN.BADAT) to purchase order creation (EKKO.BEDAT), measuring internal procurement processing speed",days,purchasing_group × month,Procurement Department,Head of Supply Chain,approved,procurement,avg_vendor_lead_time,Measures INTERNAL efficiency not vendor delivery. Target: <5 days for standard reorders.,2026-04-13,Purchase requisition records are linked to purchase order records to track the complete procurement cycle from initial request to final order creation.,All purchase requisitions that resulted in purchase orders are included to calculate the time between requisition creation and purchase order creation,,,,,{}
BG009,goods_receipt_accuracy,Goods Receipt Accuracy,"Percentage of goods receipt postings where received quantity matches PO ordered quantity (no partial or over-delivery), per vendor per quarter",percent,vendor × quarter,Warehouse Management,Head of Logistics,draft,quality,on_time_delivery_rate;vendor_scorecard,Partial deliveries (GR qty < PO qty) and over-deliveries both count as inaccurate.,2026-04-13,,,,,,,{}
BG010,vendor_concentration_risk,Vendor Concentration Risk,"Percentage of total CPE procurement spend going to a single vendor, measured quarterly. Above 60% = high risk per dual-sourcing policy (PR004)",percent,vendor × quarter,Risk Management,Head of Supply Chain,approved,procurement,vendor_scorecard,Procurement rule PR004 requires 2+ approved vendors per critical CPE type.,2026-04-13,Vendor purchase order data is linked with date information and then combined with quarterly spending totals to calculate each vendor's share of total spending,Purchase orders with valid order dates,,,,,{}
