id,analysis_type,executed_at_utc,result_json,promoted,promoted_at_utc,promoted_to_target_id,run_id,query_sql,row_count,error_message,status,superseded_by,executed_by,schema_version,source_tables,domain_name,last_source_ingestion_at
DAR-00001,completeness,2026-04-19T22:18:52Z,"{""column_checks"":[{""column"":""BANFN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BNFPO"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BPRME"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""ELIKZ"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""LGORT"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATKL"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATNR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MEINS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MENGE"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETPR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETWR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""PSTYP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""TXZ01"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""WERKS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""}],""total_rows"":2200}",false,,,RUN-20260419221852,"SELECT 'BANFN' AS column_name, COUNT(*) FILTER (WHERE ""BANFN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BNFPO' AS column_name, COUNT(*) FILTER (WHERE ""BNFPO"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BPRME' AS column_name, COUNT(*) FILTER (WHERE ""BPRME"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELN' AS column_name, COUNT(*) FILTER (WHERE ""EBELN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELP' AS column_name, COUNT(*) FILTER (WHERE ""EBELP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'ELIKZ' AS column_name, COUNT(*) FILTER (WHERE ""ELIKZ"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'LGORT' AS column_name, COUNT(*) FILTER (WHERE ""LGORT"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATKL' AS column_name, COUNT(*) FILTER (WHERE ""MATKL"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATNR' AS column_name, COUNT(*) FILTER (WHERE ""MATNR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MEINS' AS column_name, COUNT(*) FILTER (WHERE ""MEINS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MENGE' AS column_name, COUNT(*) FILTER (WHERE ""MENGE"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETPR' AS column_name, COUNT(*) FILTER (WHERE ""NETPR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETWR' AS column_name, COUNT(*) FILTER (WHERE ""NETWR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'PSTYP' AS column_name, COUNT(*) FILTER (WHERE ""PSTYP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'TXZ01' AS column_name, COUNT(*) FILTER (WHERE ""TXZ01"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'WERKS' AS column_name, COUNT(*) FILTER (WHERE ""WERKS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
ORDER BY column_name",16,,superseded,DAR-00006,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00002,dimensions,2026-04-19T22:19:30Z,"{""columns_analyzed"":[{""column_name"":""PSTYP"",""distinct_count"":1,""top_values"":[{""value"":""0"",""count"":2200,""pct"":1.0}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""WERKS"",""distinct_count"":4,""top_values"":[{""value"":""HT10"",""count"":1106,""pct"":0.502727},{""value"":""HT20"",""count"":459,""pct"":0.208636},{""value"":""HT30"",""count"":331,""pct"":0.150455},{""value"":""HT40"",""count"":304,""pct"":0.138182}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""MATKL"",""distinct_count"":5,""top_values"":[{""value"":""CPE-RTR"",""count"":1055,""pct"":0.479545},{""value"":""CPE-ONT"",""count"":742,""pct"":0.337273},{""value"":""CPE-STB"",""count"":258,""pct"":0.117273},{""value"":""CPE-MDM"",""count"":96,""pct"":0.043636},{""value"":""CPE-SWT"",""count"":49,""pct"":0.022273}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""MEINS"",""distinct_count"":1,""top_values"":[{""value"":""ST"",""count"":2200,""pct"":1.0}],""null_count_in_result"":0,""null_strategy"":""none""}],""columns_chosen_by_llm"":[""PSTYP"",""WERKS"",""MATKL"",""MEINS""],""null_strategy_per_column"":{},""rationale"":""Selected four high-confidence dimension columns representing item category, plant, material group, and unit of measure for comprehensive value distribution analysis across key organizational and classification dimensions."",""total_rows"":2200,""bundle_fingerprint"":""4f72467d9ecc82fc""}",false,,,RUN-20260419221930,"SELECT 'PSTYP' AS column_name, CAST(""PSTYP"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""PSTYP"" UNION ALL SELECT 'WERKS' AS column_name, CAST(""WERKS"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""WERKS"" UNION ALL SELECT 'MATKL' AS column_name, CAST(""MATKL"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""MATKL"" UNION ALL SELECT 'MEINS' AS column_name, CAST(""MEINS"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""MEINS""",4,,superseded,DAR-00004,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00003,completeness,2026-04-19T22:21:17Z,"{""column_checks"":[{""column"":""BANFN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BNFPO"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BPRME"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""ELIKZ"",""null_count"":110,""null_pct"":0.05,""reliability"":""medium""},{""column"":""LGORT"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATKL"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATNR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MEINS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MENGE"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETPR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETWR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""PSTYP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""TXZ01"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""WERKS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""}],""total_rows"":2200}",false,,,RUN-20260419222117,"SELECT 'BANFN' AS column_name, COUNT(*) FILTER (WHERE ""BANFN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BNFPO' AS column_name, COUNT(*) FILTER (WHERE ""BNFPO"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BPRME' AS column_name, COUNT(*) FILTER (WHERE ""BPRME"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELN' AS column_name, COUNT(*) FILTER (WHERE ""EBELN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELP' AS column_name, COUNT(*) FILTER (WHERE ""EBELP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'ELIKZ' AS column_name, COUNT(*) FILTER (WHERE ""ELIKZ"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'LGORT' AS column_name, COUNT(*) FILTER (WHERE ""LGORT"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATKL' AS column_name, COUNT(*) FILTER (WHERE ""MATKL"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATNR' AS column_name, COUNT(*) FILTER (WHERE ""MATNR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MEINS' AS column_name, COUNT(*) FILTER (WHERE ""MEINS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MENGE' AS column_name, COUNT(*) FILTER (WHERE ""MENGE"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETPR' AS column_name, COUNT(*) FILTER (WHERE ""NETPR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETWR' AS column_name, COUNT(*) FILTER (WHERE ""NETWR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'PSTYP' AS column_name, COUNT(*) FILTER (WHERE ""PSTYP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'TXZ01' AS column_name, COUNT(*) FILTER (WHERE ""TXZ01"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'WERKS' AS column_name, COUNT(*) FILTER (WHERE ""WERKS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
ORDER BY column_name",16,,superseded,DAR-00006,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00004,dimensions,2026-04-19T22:22:03Z,"{""columns_analyzed"":[{""column_name"":""PSTYP"",""distinct_count"":1,""top_values"":[{""value"":""0"",""count"":2200,""pct"":1.0}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""WERKS"",""distinct_count"":4,""top_values"":[{""value"":""HT10"",""count"":1106,""pct"":0.502727},{""value"":""HT20"",""count"":459,""pct"":0.208636},{""value"":""HT30"",""count"":331,""pct"":0.150455},{""value"":""HT40"",""count"":304,""pct"":0.138182}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""MATKL"",""distinct_count"":5,""top_values"":[{""value"":""CPE-RTR"",""count"":1055,""pct"":0.479545},{""value"":""CPE-ONT"",""count"":742,""pct"":0.337273},{""value"":""CPE-STB"",""count"":258,""pct"":0.117273},{""value"":""CPE-MDM"",""count"":96,""pct"":0.043636},{""value"":""CPE-SWT"",""count"":49,""pct"":0.022273}],""null_count_in_result"":0,""null_strategy"":""none""},{""column_name"":""LGORT"",""distinct_count"":4,""top_values"":[{""value"":""HT11"",""count"":1106,""pct"":0.502727},{""value"":""HT21"",""count"":459,""pct"":0.208636},{""value"":""HT31"",""count"":331,""pct"":0.150455},{""value"":""HT41"",""count"":304,""pct"":0.138182}],""null_count_in_result"":0,""null_strategy"":""none""}],""columns_chosen_by_llm"":[""PSTYP"",""WERKS"",""MATKL"",""LGORT""],""null_strategy_per_column"":{""ELIKZ"":""excluded""},""rationale"":""Selected four high-confidence dimension columns (PSTYP, WERKS, MATKL, LGORT) representing item category, plant, material group, and storage location for comprehensive organizational analysis, excluding ELIKZ due to medium reliability with 5% null values."",""total_rows"":2200,""bundle_fingerprint"":""4f72467d9ecc82fc""}",false,,,RUN-20260419222203,"SELECT 'PSTYP' AS column_name, CAST(""PSTYP"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""PSTYP"" UNION ALL SELECT 'WERKS' AS column_name, CAST(""WERKS"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""WERKS"" UNION ALL SELECT 'MATKL' AS column_name, CAST(""MATKL"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""MATKL"" UNION ALL SELECT 'LGORT' AS column_name, CAST(""LGORT"" AS VARCHAR) AS value, COUNT(*) AS cnt FROM raw_sap.ekpo GROUP BY ""LGORT""",4,,success,,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00005,completeness,2026-04-19T22:32:56Z,"{""column_checks"":[{""column"":""BANFN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BNFPO"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BPRME"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""ELIKZ"",""null_count"":110,""null_pct"":0.05,""reliability"":""medium""},{""column"":""LGORT"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATKL"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATNR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MEINS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MENGE"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETPR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETWR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""PSTYP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""TXZ01"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""WERKS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""}],""total_rows"":2200}",false,,,RUN-20260419223256,"SELECT 'BANFN' AS column_name, COUNT(*) FILTER (WHERE ""BANFN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BNFPO' AS column_name, COUNT(*) FILTER (WHERE ""BNFPO"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BPRME' AS column_name, COUNT(*) FILTER (WHERE ""BPRME"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELN' AS column_name, COUNT(*) FILTER (WHERE ""EBELN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELP' AS column_name, COUNT(*) FILTER (WHERE ""EBELP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'ELIKZ' AS column_name, COUNT(*) FILTER (WHERE ""ELIKZ"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'LGORT' AS column_name, COUNT(*) FILTER (WHERE ""LGORT"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATKL' AS column_name, COUNT(*) FILTER (WHERE ""MATKL"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATNR' AS column_name, COUNT(*) FILTER (WHERE ""MATNR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MEINS' AS column_name, COUNT(*) FILTER (WHERE ""MEINS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MENGE' AS column_name, COUNT(*) FILTER (WHERE ""MENGE"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETPR' AS column_name, COUNT(*) FILTER (WHERE ""NETPR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETWR' AS column_name, COUNT(*) FILTER (WHERE ""NETWR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'PSTYP' AS column_name, COUNT(*) FILTER (WHERE ""PSTYP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'TXZ01' AS column_name, COUNT(*) FILTER (WHERE ""TXZ01"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'WERKS' AS column_name, COUNT(*) FILTER (WHERE ""WERKS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
ORDER BY column_name",16,,superseded,DAR-00006,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00006,completeness,2026-04-19T22:34:06Z,"{""column_checks"":[{""column"":""BANFN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BNFPO"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""BPRME"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELN"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""EBELP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""ELIKZ"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""LGORT"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATKL"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MATNR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MEINS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""MENGE"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETPR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""NETWR"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""PSTYP"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""TXZ01"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""},{""column"":""WERKS"",""null_count"":0,""null_pct"":0.0,""reliability"":""high""}],""total_rows"":2200}",false,,,RUN-20260419223406,"SELECT 'BANFN' AS column_name, COUNT(*) FILTER (WHERE ""BANFN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BNFPO' AS column_name, COUNT(*) FILTER (WHERE ""BNFPO"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'BPRME' AS column_name, COUNT(*) FILTER (WHERE ""BPRME"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELN' AS column_name, COUNT(*) FILTER (WHERE ""EBELN"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'EBELP' AS column_name, COUNT(*) FILTER (WHERE ""EBELP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'ELIKZ' AS column_name, COUNT(*) FILTER (WHERE ""ELIKZ"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'LGORT' AS column_name, COUNT(*) FILTER (WHERE ""LGORT"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATKL' AS column_name, COUNT(*) FILTER (WHERE ""MATKL"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MATNR' AS column_name, COUNT(*) FILTER (WHERE ""MATNR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MEINS' AS column_name, COUNT(*) FILTER (WHERE ""MEINS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'MENGE' AS column_name, COUNT(*) FILTER (WHERE ""MENGE"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETPR' AS column_name, COUNT(*) FILTER (WHERE ""NETPR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'NETWR' AS column_name, COUNT(*) FILTER (WHERE ""NETWR"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'PSTYP' AS column_name, COUNT(*) FILTER (WHERE ""PSTYP"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'TXZ01' AS column_name, COUNT(*) FILTER (WHERE ""TXZ01"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
UNION ALL
SELECT 'WERKS' AS column_name, COUNT(*) FILTER (WHERE ""WERKS"" IS NULL) AS null_count, COUNT(*) AS total_rows FROM raw_sap.ekpo
ORDER BY column_name",16,,success,,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00007,magnitude,2026-04-19T22:44:16Z,"{""grouping_dimension"":""MATKL"",""measure"":""NETWR"",""aggregation"":""SUM"",""top_n"":[{""dim_value"":""CPE-RTR"",""measure_total"":23550539.5,""row_count"":1055,""pct"":0.663422},{""dim_value"":""CPE-ONT"",""measure_total"":10392904.0,""row_count"":742,""pct"":0.29277},{""dim_value"":""CPE-SWT"",""measure_total"":681713.7000000001,""row_count"":49,""pct"":0.019204},{""dim_value"":""CPE-STB"",""measure_total"":616531.7499999999,""row_count"":258,""pct"":0.017368},{""dim_value"":""CPE-MDM"",""measure_total"":256895.05,""row_count"":96,""pct"":0.007237}],""total_rows"":2200,""measure_total_top_n"":35498584.0,""null_filter_applied"":false,""rationale"":""Net value (NETWR) by material group (MATKL) reveals which product categories drive the highest procurement spend, with MATKL showing meaningful 5-value distribution across CPE device types."",""bundle_fingerprint"":""38f9d4e76963e2d8"",""roles_validated"":{""measure_role"":""measure"",""dimension_role"":""dimension"",""both_valid"":true}}",false,,,RUN-20260419224416,"SELECT CAST(""MATKL"" AS VARCHAR) AS dim_value, SUM(""NETWR"") AS measure_total, COUNT(*) AS row_count FROM raw_sap.ekpo GROUP BY ""MATKL"" ORDER BY measure_total DESC LIMIT 10",5,,superseded,DAR-00027,guided_analysis_llm,b676b820df58,ekpo,,
DAR-00008,code_tables,2026-04-19T23:19:37Z,"{""code_column"":""MEINS"",""description_source_used"":""none"",""description_source_reason"":""The static layer contains movement_type_mapping which joins on movement_type = BWART, but no description source exists for MEINS (unit of measure codes)."",""used_join_not_case"":false,""case_statement_detected"":false,""llm_self_attestation_mismatch"":false,""mappings"":[{""code"":""ST"",""description"":null,""description_source"":""none"",""count"":31965}],""total_rows"":31965,""distinct_sources_in_output"":[""none""],""rows_with_source_none"":1,""rows_with_null_description"":1,""rationale"":""MEINS is a dimension-role column representing base unit of measure codes, which are categorical SAP codes suitable for code table analysis."",""bundle_fingerprint"":""8350e2fe45fddf5b""}",false,,,RUN-20260419231937,"SELECT CAST(s.""MEINS"" AS VARCHAR) AS code, NULL AS description, 'none' AS description_source, COUNT(*) AS cnt FROM raw_sap.mseg s GROUP BY s.""MEINS"" ORDER BY cnt DESC",1,,superseded,DAR-00092,guided_analysis_llm,5f757af2342b,mseg,,
DAR-00009,code_tables,2026-04-19T23:20:51Z,"{""code_column"":""BWART"",""description_source_used"":""movement_type_mapping"",""description_source_reason"":""The static layer contains main_seeds.movement_type_mapping with join key movement_type matching BWART, providing rich descriptions with direction, process_step, and affects_stock metadata."",""used_join_not_case"":true,""case_statement_detected"":false,""llm_self_attestation_mismatch"":false,""mappings"":[{""code"":""201"",""description"":""Goods Issue for Cost Center"",""description_source"":""movement_type_mapping"",""count"":27000},{""code"":""161"",""description"":""Return from Customer"",""description_source"":""movement_type_mapping"",""count"":2160},{""code"":""101"",""description"":""Goods Receipt for PO"",""description_source"":""movement_type_mapping"",""count"":2157},{""code"":""122"",""description"":""Return to Vendor"",""description_source"":""movement_type_mapping"",""count"":648}],""total_rows"":31965,""distinct_sources_in_output"":[""movement_type_mapping""],""rows_with_source_none"":0,""rows_with_null_description"":0,""rationale"":""BWART is identified as a dimension role with high confidence in source_column_roles and represents the well-known SAP movement type categorical code for transaction grouping, making it the ideal Code Tables target for mseg."",""bundle_fingerprint"":""f97643f9935906f4""}",false,,,RUN-20260419232051,"SELECT CAST(s.""BWART"" AS VARCHAR) AS code, d.description_en AS description, 'movement_type_mapping' AS description_source, COUNT(*) AS cnt FROM raw_sap.mseg s LEFT JOIN main_seeds.movement_type_mapping d ON d.movement_type = CAST(s.""BWART"" AS INTEGER) GROUP BY s.""BWART"", d.description_en ORDER BY cnt DESC",4,,superseded,DAR-00092,guided_analysis_llm,5f757af2342b,mseg,,
DAR-00010,magnitude,2026-04-19T23:28:17Z,"{""grouping_dimension"":""BWART"",""measure"":""MENGE"",""aggregation"":""SUM"",""top_n"":[{""dim_value"":""101"",""measure_total"":656072.0,""row_count"":2157,""pct"":0.956541},{""dim_value"":""201"",""measure_total"":27000.0,""row_count"":27000,""pct"":0.039365},{""dim_value"":""161"",""measure_total"":2160.0,""row_count"":2160,""pct"":0.003149},{""dim_value"":""122"",""measure_total"":648.0,""row_count"":648,""pct"":0.000945}],""total_rows"":31965,""measure_total_top_n"":685880.0,""null_filter_applied"":false,""rationale"":""MENGE (quantity) aggregated by BWART (movement type) reveals which transaction types drive the highest volume throughput in the warehouse operations."",""bundle_fingerprint"":""42975bb76361594d"",""roles_validated"":{""measure_role"":""measure"",""dimension_role"":""dimension"",""both_valid"":true}}",false,,,RUN-20260419232817,"SELECT CAST(""BWART"" AS VARCHAR) AS dim_value, SUM(""MENGE"") AS measure_total, COUNT(*) AS row_count FROM raw_sap.mseg GROUP BY ""BWART"" ORDER BY measure_total DESC LIMIT 10",4,,superseded,DAR-00089,guided_analysis_llm,5f757af2342b,mseg,,
