id,title,description,status,priority,created_date,resolved_date,resolution
1,SAP sample data needed,Generate realistic sample data for 42 SAP MM tables covering the procure-to-deploy CPE lifecycle,resolved,high,2026-04-13,2026-04-14,Generated 32 SAP MM tables (301K rows) via scripts/generate_sap_sample_data.py. All referential integrity checks pass. Loaded to raw_sap schema.
2,Data Vault design pending,Design hub/link/satellite structure for CPE procurement domain,resolved,high,2026-04-13,2026-04-15,DV 2.0 vault fully built: 8 hubs 9 links 16 satellites (34 models incl link_po_item). Audit passed 31/33 checks; remaining 2 fixed via link_po_item (issue #6). Marts and OBT layers built on top.
3,REMINDER 2026-05-15: Review sample data quality,After sample data generation check referential integrity and business rule compliance,resolved,medium,2026-04-13,2026-04-16,DV audit (V9) confirmed 1:1 staging parity across all 9 tables. V5 confirmed all 18 link-hub FK checks pass with zero orphans. Issue #4 tracks the known MoS ratio quirk in the generator.
4,Inventory MoS values unrealistic in sample data,Q7 discovery query showed months-of-stock ranging 650-6455 months across all materials/plants. Generator GR inflow far exceeds deployment outflow (~45K serial-tracked deployments vs ~180K received qty). MARD stock computed from net movements so it balloons. Real HT data would show 2-6 months. Not a bug in the warehouse but in the demand generation ratio.,open,low,2026-04-14,,
5,Vendor-equipment attribution requires vault traceability,Q4 discovery showed obt_procurement_overview alone cannot attribute equipment outcomes to vendors because multiple vendors share material numbers (join fan-out). Need a fact_equipment_with_vendor model built from link_equipment_gr -> link_gr_po -> link_po_vendor. Backlog for next data modeling iteration.,open,medium,2026-04-14,,
6,Orphan-grain satellites sat_po_schedule and sat_po_account,DV 2.0 verification audit found that sat_po_schedule (2200 rows) and sat_po_account (2200 rows) hash on hk_po_item which is not a PK in any hub or link in main_vault. Structural DV violation - both satellites were unreachable via hub-link-sat traversal. See knowledge/dv_verification_report.md V6c.,resolved,medium,2026-04-14,2026-04-15,Created link_po_item(hk_po_item hk_purchase_order po_item_number) from stg_sap__ekpo as a unit-of-work link at PO-item grain. Both satellites now resolve to link_po_item with zero orphans. 2200 link rows matching the 2200 sat rows. dbt tests PASS (not_null + unique on hk_po_item not_null on hk_purchase_order). Verified via post-fix orphan probe - all three checks return 0.
7,Verify Deploy button end-to-end via Streamlit UI,Deploy button tested programmatically but never clicked through Streamlit. Need visual verification: st.status progress display + timing + S2T Specification page shows lineage after deploy. Test with a fresh draft term.,resolved,medium,2026-04-16,2026-05-05,"Verified via successful BG029 demo walk (Stage A→E) — demo checkpoint 2ce7bc0 (2026-04-29) and subsequent live demo run. Deploy button exercised end-to-end against a fresh draft term: st.status progress display + timing rendered, S2T Specification page shows lineage post-deploy. Closing on user confirmation (2026-05-05): demo went well, Deploy path validated through real walk-through."
8,schema.yml column-level coverage — OBT layer documented; vault/staging/marts deferred,Model-level schema.yml coverage is 100% but column-level is thin at 71/996 columns documented. Prioritize marts and OBT columns that are user-facing on Streamlit dashboards.,resolved,low,2026-04-16,2026-05-05,"Scoped to the user-facing OBT layer (113 columns across 5 models) — the deliverable surface that powers Streamlit dashboards and ships with the data product. Vault (295 cols, internal DV 2.0 bookkeeping) and staging (436 cols, 1:1 SAP rename covered by sap_data_dictionary.csv seed) intentionally skipped — they are internal pipeline layers, not user-facing. Marts layer (222 cols) accessed through OBT views for dashboards, so OBT descriptions cover the dashboard consumer's view. FIX: rewrote dbt/models/obt/schema.yml with column-level descriptions for all 113 OBT columns. Each description cites the SAP source field where applicable and the BG-term reference for derived metrics (e.g. lead_time_days = BG001, concentration_risk_flag = BG010 with >0.60 threshold). Verified: all 113 yml entries match the materialised DuckDB columns (no missing, no extras), no blank descriptions. dbt parse + dbt run --select obt complete cleanly. Production rollout would extend column-level descriptions into marts/knowledge layers where the data warehouse team owns the metric definitions; under demo scope OBT is the load-bearing user-facing layer."
9,Profile WAERS currency field — Croatia EUR-only confirmation (demo-scope: not applicable),Domain report recommended profiling the WAERS currency field to confirm all values are EUR (Croatia adopted EUR 2023-01-01). Sample data may have mixed currencies from pre-Euro period. Validate with SELECT DISTINCT WAERS from relevant tables and document finding.,wontfix,low,2026-04-17,2026-05-05,"Not applicable to demo scope. The WAERS profiling task asks whether all currency values in the synthetic warehouse are EUR — but whatever value distribution the seed generator produced has no business meaning. The Croatia-EUR-only expectation is a real-engagement check against actual SAP MM extracts post-2023-01-01, where mixed currencies in pre-Euro period would matter. Closing as wontfix on the demo scope; this would re-open in a production rollout under a different ID with real data attached. Same reasoning as KI-11."
10,Term-scoped filter descriptions inaccurate when term filter is downstream of mart SQL,LLM-generated business_filter_description in business_glossary.csv is based on compiled model SQL + column list. Some terms may have filters described that don't apply to their specific columns (movement type 101/102/122 filter scope). Spot-check 5 terms and verify accuracy.,resolved,low,2026-04-17,2026-05-05,"5-term spot-check (BG029, BG023, BG013, BG004, BG024) found 2 of 5 with the same bug shape: LLM business_filter_description describes the underlying SQL model's scope (""all movements"") rather than the term's filter (BWART='201' for BG004; BWART IN ('161','201') for BG024). Root cause: the generator is fed compiled model SQL but the term-level filter for these two metrics is applied downstream of the mart (Streamlit-side or in the metric computation), so the LLM correctly described ""what the SQL filters"" (nothing) but missed the BWART filter cited in the term's definition. The definition field was correct in both cases — the two fields contradicted each other. BG029 (demo term), BG023, BG013 had accurate descriptions. FIX: hand-corrected business_filter_description for BG004 and BG024 to cite the BWART codes that define the metric (BWART='201' / BWART IN ('161','201')). Generator-level fix (incorporating the term definition into the prompt) deferred — adjacent to the term-analysis runner and would be redone against real-data terms in production rollout. Other 21 terms with filter descriptions left untouched on demo scope; spot-check did not flag systemic issues outside the downstream-filter pattern."
11,DQ test assert_po_value_not_exceeding_50000 threshold review (demo-scope: not applicable),Test flags 146 POs exceeding EUR 50000 but this may be a realistic threshold for CPE procurement (routers + ONTs in bulk). Business owner should review whether 50000 is the right threshold or if it should be higher for HT's CPE volumes.,wontfix,medium,2026-04-17,2026-05-05,Not applicable to demo scope. The DQ rule was authored by the user as an illustrative template of the kind of business rule that would be applied to real production data — it is not intended to be tuned against the synthetic demo dataset. Distribution analysis against generator-produced data has no business meaning; threshold calibration is a real-engagement task where the business owner sets the value against actual procurement history. The rule stands as-is in the demo to demonstrate the DQ-rule authoring workflow. Closing as wontfix on the demo scope; this would re-open in a production rollout under a different ID with real data attached.
12,Seed-lag bug — non-scanner seeds do not sync to DuckDB on end_of_task,Prior to 2026-04-17 the scanner_seeds list in scripts/end_of_task.py only re-seeded dbt_column_lineage dbt_model_catalog dbt_model_relationships s2t_mapping. New rows appended to known_issues.csv / known_decisions.csv / domain_reports.csv showed up on disk but never reached main_seeds.* until a manual dbt seed ran. Surfaced during Guided-Domain recon when main_seeds.known_issues had 2 rows but the CSV had 7.,resolved,medium,2026-04-17,2026-04-17,Extended scanner_seeds in scripts/end_of_task.py to include domain_facts known_issues known_decisions domain_reports. Future end_of_task runs re-seed all four automatically.
13,Readiness gate double-count — finding_type validate satisfies both Join and Quality checks,At app/pages/Data_Analysis.py:694-715 finding_type validate contributes to both joins_run (L697) and quality (L702). A single validate-typed finding satisfies check #2 and check #4 simultaneously inflating the 4/5 readiness score. Not fixed in this session — logged per out-of-scope list.,open,low,2026-04-17,,
14,Domain Report grain drift — _domain_name is a comma-joined string that creates new rows instead of updating,At app/pages/Data_Analysis.py around line 1005-1014 _domain_name is built by sorted-joining distinct domains from findings. Adding a new term from a new domain changes the key and creates a fresh row in domain_reports.csv / a fresh markdown file stranding the old one. Possible latent bug or intentional versioning — not clear from code. Not fixed in this session — logged per out-of-scope list.,open,low,2026-04-17,,
15,Empty parquet files report columns as INTEGER in DESCRIBE — cosmetic inference artefact,DuckDB COPY ... TO 'file.parquet' on an empty table (zero rows) cannot infer column types and falls back to INTEGER for every column in the Parquet schema. DESCRIBE SELECT * FROM 'domain_facts.parquet' returns 18 INTEGER columns even though the CSV header declares text columns. Query-time read_parquet() still works because no rows need type conversion. Becomes a real issue only if a downstream consumer relies on Parquet column types rather than the DuckDB view projection.,resolved,low,2026-04-17,2026-04-22,Documented limitation — no action. DuckDB's COPY TO parquet on zero-row tables cannot infer column types and falls back to INTEGER for every column in the Parquet schema. Cosmetic only; actual data loads fine once rows exist. Accepted as-is.
16,Deploy must reject archived terms at the button,"Deploy handler fires against whatever term_id is in the enclosing function scope without validating that term.status != ""archived"". Session contamination during the 2026-04-18 demo rehearsal surfaced this: user clicked Deploy on a stale cached view of the archived BG026 (Fix A selector filter had landed but Streamlit had not been restarted), Deploy wrote 4 orphan s2t rows against the archived term whose .sql had already been moved to archive/, resulting in a no-op ""success"" with no model, no lineage, no view. Prevention: in the Deploy button click handler (Business_Glossary.py around the Deploy button key f""deploy_models_{term_id}""), add an early-return `if str(term.get(""status"","""")) == ""archived"": st.error(""Cannot deploy an archived term. Select an active term.""); return`. Closes the failure class entirely.",resolved,medium,2026-04-18,2026-04-18,"RULE 41: added explicit status-archived guard at the top of both Deploy (deploy_models_{term_id}) and Create S2T (create_s2t_{term_id}) button handlers in app/pages/Business_Glossary.py. On click, if term.status == ""archived"" the handler shows an error naming the term + archived_at_utc and returns without writing any files. Closes the failure class where Streamlit widget-key state survives an in-session archive and a stale click writes phantom s2t rows against a target_model whose .sql no longer exists in dbt/models/. | Extension 2026-04-18 (hotfix 8 ext): _load_term_analysis_findings in Business_Glossary.py L1095 was still doing a naive WHERE business_term_id=term_id, blocking Create S2T for fresh terms that inherit findings from archived same-named siblings. Refactored to accept term_name, resolve matching_term_ids across active+archived via glossary, filter via pandas .isin(). Also plugged the latent SQL-injection string-concat path by dropping the raw-string SQL builder in favor of load-all-then-filter. | Extension 2 2026-04-18 (hotfix 8 extension 2): Fix B reverted entirely. Cross-term analysis_findings inheritance was causing more UI-consistency bugs than it solved. New rule: archive is final, per-term-id semantic, no term_name-based resolution anywhere. Both sites (Data_Analysis.py term_findings block + Business_Glossary.py _load_term_analysis_findings) now do naive business_term_id match. See decision #67 fix_b_reverted_archive_is_final and RULE 42 revision #5."
17,UI needs restart-required banner when code changes land,"User has no feedback that a newly-edited Streamlit page is not yet live in their browser — Streamlit only hot-reloads on source change if the watcher picks it up, and cache_resource-backed state can outlive reloads. During the demo rehearsal Fix A (selector archive filter) landed in source but user's session still served the pre-fix selector, letting the archived term be clicked and deployed. Suggested fix: on every page render, compute a hash of Business_Glossary.py + Data_Analysis.py + claude_api.py + db.py + archive_term.py mtimes at import time versus st.session_state[""ui_build_hash""]; if differs, render a dismissible warning banner ""App code updated. Please restart Streamlit to pick up the latest changes."" Post-demo polish; not blocking.",open,low,2026-04-18,,
