"table_name","field_name","data_type","length","description_en","description_hr","business_meaning","example_value","domain_area","description_source","needs_review"
"BKPF","BELNR","CHAR","10","Unique accounting document number within company code and fiscal year.","Jedinstveni broj računovodstvenog dokumenta unutar šifre društva i poslovne godine.","Primary key component for accounting documents in BKPF table. Together with BUKRS and GJAHR forms unique identifier. Sequential numbering typically managed by number ranges per document type.","1900000001","finance","sap_standard","0"
"BKPF","BKTXT","CHAR","25","Document header text describing the business transaction or purpose.","Tekst zaglavlja dokumenta koji opisuje poslovnu transakciju ili svrhu.","Human-readable description of the document purpose or transaction details. Often populated automatically from document type or manually entered for clarity. Used in reports and document displays for business users.","CPE Purchase Invoice","finance","sap_standard","0"
"BKPF","BLART","CHAR","2","Document type that categorizes the accounting document by business transaction.","Vrsta dokumenta koja kategorizira računovodstveni dokument prema poslovnoj transakciji.","Controls document behavior, number ranges, and account types allowed. Common values: RE=Invoice, KR=Vendor Invoice, DR=Customer Invoice, SA=G/L Document. Critical for procurement-to-pay process tracking.","KR","finance","sap_standard","0"
"BKPF","BLDAT","DATS","8","Document date from the original business transaction or external document.","Datum dokumenta iz originalne poslovne transakcije ili vanjskog dokumenta.","Business transaction date, often from external documents like vendor invoices. Used for due date calculations and audit trails. Can differ from posting date for control purposes. Format YYYYMMDD.","20240310","finance","sap_standard","0"
"BKPF","BUDAT","DATS","8","Posting date when the document was posted to the general ledger.","Datum proknjižbe kad je dokument proknjižen u glavnu knjigu.","Determines fiscal period for financial reporting and affects period balances. Can differ from document date for timing control. Format YYYYMMDD. Primary date for financial period analysis.","20240315","finance","sap_standard","0"
"BKPF","BUKRS","CHAR","4","Company code that identifies a legal entity within the SAP system.","Šifra društva koja identificira pravnu osobu unutar SAP sustava.","Organizational dimension that groups all accounting documents by legal entity. In HT context, typically represents different subsidiaries or business units within the Helios Telecom Group structure.","1000","org_structure","sap_standard","0"
"BKPF","GJAHR","NUMC","4","Fiscal year in which the accounting document was posted.","Poslovna godina u kojoj je računovodstveni dokument proknjižen.","Temporal dimension for financial reporting and document organization. Part of primary key ensuring document numbers are unique per fiscal year. Critical for period-based financial analysis.","2024","finance","sap_standard","0"
"BKPF","USNAM","CHAR","12","SAP user name who created the accounting document.","SAP korisničko ime koje je stvorilo računovodstveni dokument.","Audit trail field showing who posted the document. Used for approval workflow tracking and segregation of duties analysis. Links to user master data for organizational reporting.","HTUSER001","workflow","sap_standard","0"
"BKPF","XBLNR","CHAR","16","Reference document number from external system or manual entry.","Referentni broj dokumenta iz vanjskog sustava ili ručnog unosa.","Links SAP documents to external references like vendor invoice numbers, bank statements, or legacy system IDs. Critical for three-way matching in procurement processes and audit reconciliation.","INV2024001234","cross_domain","sap_standard","0"
"BSEG","BELNR","CHAR","10","Accounting document number uniquely identifying the financial document.","Broj računovodstvenog dokumenta koji jedinstveno identificira financijski dokument.","Primary key component in accounting line items. Links to document header (BKPF) and enables traceability of all financial postings related to procurement transactions including invoice receipts and payments.","1900000001","finance","sap_standard","0"
