id,date,decision,hypothesis,what_we_did,what_happened,conclusion,version,never_repeat,reverted
1,2026-04-13,project_initialized,Setting up CPE Procurement Analytics for Helios Telecom,Created project scaffold with dbt+DuckDB+Streamlit,Project structure created with knowledge wiki infrastructure,Framework ready for SAP sample data generation and Data Vault modeling,v0.1.0,false,false
2,2026-04-14,sap_sample_data_generated,Generate realistic SAP MM sample data for HT CPE procurement,Created Python script generating 32 tables with referential integrity,Data covers 2024-01 to 2026-03 with 45K CPE devices and 2200 POs and 32K material movements,Sample data loaded into raw_sap schema in DuckDB. All 4 RI checks pass. Avg lead time 44.8d. Ready for staging layer.,v0.2.0,false,false
3,2026-04-14,abap_logic_catalog_created,Document custom ABAP code for HT SAP system,Created 16 ABAP program entries and 11 Z-table entries covering CPE lifecycle automation and procurement rules,Wiki now shows complete custom code catalog with table dependency graph and risk levels,ABAP documentation layer complete — covers serial validation equipment lifecycle provisioning bridge vendor scoring warranty tracking and financial depreciation. In real engagement this would be auto-populated by Claude scanning exported ABAP source.,v0.3.0,false,false
4,2026-04-14,serial_tracking_tables_added,Complete the serial number chain (SERI SER01 SER03 OBJK) for full CPE traceability,Generated 4 serial number tables linking individual devices to GR documents and POs,Serial chain complete: EQUI ↔ OBJK ↔ SERI ↔ MKPF/MSEG ↔ EKKO/EKPO. Full device-to-PO traceability.,Data Vault link_equipment_po can now be built from OBJK+SER01. 5 tables intentionally empty (MCHB MVKE MSKA LQUA LTAP) — documented in known_decisions.,v0.3.1,false,false
5,2026-04-14,empty_tables_documented,Document why 5 SAP tables are intentionally empty in the MVP,Created empty table schemas for MCHB MVKE MSKA LQUA LTAP with correct column structure,MCHB: CPE is serial not batch managed. MVKE: CPE procured not sold via SD. MSKA: no sales order stock. LQUA/LTAP: WM module not active at HT.,Tables exist for schema completeness and data dictionary validity. Will be populated if scope expands to include WM or SD modules.,v0.3.1,false,false
7,2026-04-14,staging_layer_1to1,Create staging layer following strict DWH best practice: 1:1 with source tables,Built 36 staging views — one per populated raw SAP table. Original column names preserved. Only adds hash keys hashdiff record_source load_date and type casting. No joins no renaming no business logic.,All models pass. 24 data tests pass (not_null + unique on hash keys and business keys). Row counts match 1:1 with source. Hash keys consistent across models referencing same business keys.,Staging follows purist Data Vault approach: mechanical transformation only. Business naming and logic deferred to vault layer. Dropped hk_po_vendor from stg_sap__ekpo — vault-time resolution via EKKO join.,v0.4.0,false,false
8,2026-04-14,data_vault_layer_built,Build Data Vault 2.0 layer: 8 hubs 9 links 16 satellites,Implemented full DV2.0 on DuckDB with dbt incremental models. Business naming in satellites. Hash key joins throughout. All vault objects read from staging only.,All 33 models pass. 61 data tests pass. All link-to-hub references valid (0 orphans across 5 checks). 8777 equipment devices traceable end-to-end: device -> GR -> PO -> vendor via vault links.,Data Vault complete. 33 incremental models (spec said 32 but listed 16 satellites so actual total is 33). Hubs insert-only. Satellites use hashdiff for SCD2 change detection. Fixed link_equipment_gr to hash MBLNR+MJAHR via SERI->MKPF join so hk_material_document matches hub definition. Ready for marts layer.,v0.5.0,false,false
9,2026-04-14,marts_and_obt_built,Build Kimball star schema (marts) and OBT flattened views on top of Data Vault,Created 7 dims 5 facts 5 OBT views (17 models). Business metrics from glossary (BG001 lead time BG002 OTD BG008 cycle time) computed in fact_purchase_orders. Vault-to-mart join pattern: hub + latest satellite + links.,All 17 models pass. 22 tests pass. BG001=44.8d BG002=55.5% BG008=4.0d. Equipment: 24857 deployed 18000 in_stock 1495 returned 648 defective. Huawei EUR28.2M top spend.,Full analytical stack complete: raw -> staging -> vault -> marts -> OBT. Fixed three spec bugs: hk_po_item vs hk_po_material mismatch gr_totals hk_material_document join fact_invoices hk_vendor not in sat.,v0.6.0,false,false
10,2026-04-14,streamlit_dashboard_built,Create 5-page Streamlit dashboard reading from OBT views,Built dashboard.py + db.py + 5 pages under app/pages: 01 procurement_overview 02 vendor_scorecard 03 cpe_lifecycle 04 inventory_health 05 goods_movements. Dark theme. Sidebar filters. KPI cards + Plotly charts + detail tables.,All 5 pages syntax-validated. All 5 OBT SELECT queries resolve. Streamlit server starts on 8501 returns 200 OK and health=ok. Each page reads from one OBT view only - no complex joins in Python.,Dashboard MVP complete. Moved pandas import to file top on procurement_overview page (spec had it after first pd.notna call which would have crashed). Installed streamlit and plotly in venv.,v0.7.0,false,false
11,2026-04-14,knowledge_models_built,Create knowledge layer: 6 computed views for live procurement health vendor performance CPE lifecycle inventory alerts data quality and pipeline summary,Built 6 knowledge models + updated session_context.sql + full export_context.py + ran data profiling. Knowledge models compute health status GREEN/YELLOW/RED for all key metrics.,All 6 models pass. 8 DQ checks: 7 PASS 1 WARN (vendor_concentration). Procurement health: OTD 54.5% RED lead_time 44.8d YELLOW cycle 4.0d GREEN concentration Huawei 85.1% RED. 5 context files generated. profile_data 5/10 OK 5 errors (stale config refs to fact_equipment_movements fact_inventory_snapshots raw_ekko raw_mkpf days_of_stock column).,Intelligence layer complete. Session startup now surfaces live system state with health assessments. Context export ready for chat sessions.,v0.8.0,false,false
12,2026-04-14,dq_moved_to_dbt_tests,Move DQ checks from knowledge model to proper dbt tests,knowledge_data_quality was a knowledge model but DQ is not business knowledge — it is data validation. Deleted the model and migrated 8 checks to dbt/tests/ as custom singular tests. Updated session_context.sql and export_context.py to reference dbt test instead.,Knowledge layer now 5 models (was 6). 8 singular tests run via dbt test: 7 PASS 1 FAIL. assert_vendor_concentration_below_60pct correctly FAILS with 9 Huawei quarters violating PR004 — stronger enforcement than the old WARN-only view (already documented in signal_relationships row 1 as a known policy gap the data surfaces).,DQ = dbt tests (pass/fail at build time). Knowledge = business state (queryable views). Never mix these concerns.,v0.8.1,false,false
