id,business_term_id,finding_type,query_description,query_sql,result_summary,tables_explored,columns_explored,row_counts,data_quality_notes,analyst_notes,analyzed_by,analyzed_date,status
AF001,BG007,profile,Count distinct POs and date range in EKKO,"SELECT COUNT(DISTINCT EBELN) AS po_count, MIN(BEDAT) AS min_dt, MAX(BEDAT) AS max_dt FROM main_staging.stg_sap__ekko",2200 POs covering 2024-01-01 to 2026-03-31,EKKO,EBELN;BEDAT,1,,Seeded for Prompt 17 demo,Claude API,2026-04-14,validated
AF002,BG007,join,Validate EKKO→EKPO→EKBE→RBKP chain for TCO,"SELECT COUNT(*) FROM main_staging.stg_sap__ekko e JOIN main_staging.stg_sap__ekpo p USING (EBELN) JOIN main_staging.stg_sap__ekbe h USING (EBELN, EBELP) JOIN main_staging.stg_sap__rbkp r ON r.BELNR = h.BELNR","12,847 matching rows. Join chain valid — every invoice traces back to a PO line",EKKO;EKPO;EKBE;RBKP,EBELN;EBELP;BELNR,12847,,Seeded for Prompt 17 demo,Claude API,2026-04-14,validated
AF003,BG007,sample,Sample of CPE materials and their aggregated net values,"SELECT p.MATNR, SUM(p.NETWR) AS spend, COUNT(DISTINCT p.EBELN) AS po_count FROM main_staging.stg_sap__ekpo p GROUP BY 1 ORDER BY 2 DESC LIMIT 5",Top 5 materials by spend — Huawei ONT dominates with EUR 8.4M across 472 POs,EKPO,MATNR;NETWR;EBELN,5,Spend includes VAT-exclusive net values only,Seeded for Prompt 17 demo,Claude API,2026-04-14,validated
AF004,BG007,quality_check,Count invoices without a matching PO reference,SELECT COUNT(*) FROM main_staging.stg_sap__rbkp WHERE XBLNR IS NULL OR XBLNR = '',"0 rows — every invoice has a vendor reference, TCO calc can safely join RBKP→EKKO",RBKP,XBLNR,0,,Seeded for Prompt 17 demo,Claude API,2026-04-14,validated
AF005,BG007,validate,Verify no negative amounts in invoice items,SELECT COUNT(*) FROM main_staging.stg_sap__rseg WHERE WRBTR < 0,0 negative invoice lines. Data is safe to sum for TCO,RSEG,WRBTR,0,,Seeded for Prompt 17 demo,Claude API,2026-04-14,validated
AF006,BG007,missing_data,Gap: MSEG missing 3 columns required for warehousing cost,,"Missing columns SOBKZ, KOSTL, AUFNR on MSEG. Required for warehousing cost allocation. Impact: cannot compute warehousing cost component of TCO.",MSEG,SOBKZ;KOSTL;AUFNR,0,cannot compute warehousing cost component of TCO,Seeded for blocker verification,test harness,2026-04-15,validated
AF007,BG007,missing_data,Gap: MSEG missing 3 column(s),,"Missing columns SOBKZ, KOSTL, AUFNR on MSEG. Cost center allocation for warehousing cost component of TCO Impact: Cannot calculate warehousing cost allocation without these fields, limiting TCO to procurement + return/repair costs only",MSEG,SOBKZ;KOSTL;AUFNR,0,"Cannot calculate warehousing cost allocation without these fields, limiting TCO to procurement + return/repair costs only",,Claude API,2026-04-15,validated
AF008,BG010,missing_data,Gap: ZHT_VENDOR_SPEND missing 4 column(s),,"Missing columns LIFNR, MATKL, GJAHR, TOTAL_SPEND on ZHT_VENDOR_SPEND. Custom aggregation table mentioned in ZMM_DUAL_SOURCE_CHECK program that pre-calculates vendor spend by material group and fiscal year Impact: Without this table, we must recalculate vendor concentration from raw PO data, which may not match the business logic used in the dual-source warning system",ZHT_VENDOR_SPEND,LIFNR;MATKL;GJAHR;TOTAL_SPEND,0,"Without this table, we must recalculate vendor concentration from raw PO data, which may not match the business logic used in the dual-source warning system",,Claude API,2026-04-16,validated
AF009,BG010,profile,Profile vendor count and spend distribution across purchase orders,"SELECT COUNT(DISTINCT LIFNR) AS vendor_count, COUNT(DISTINCT EBELN) AS po_count, LIFNR, COUNT(*) AS po_frequency FROM main_staging.stg_sap__ekko WHERE LIFNR IS NOT NULL GROUP BY LIFNR ORDER BY po_frequency DESC LIMIT 10",8 rows. Understand vendor distribution and identify if concentration patterns exist that would trigger the 60% threshold,EKKO,LIFNR;EBELN,8,Check for null vendors and validate vendor code format,,Claude API,2026-04-16,validated
AF010,BG010,join,Examine PO line item spend aggregation with vendor linkage,"SELECT eko.LIFNR, COUNT(DISTINCT eko.EBELN) AS po_count, COUNT(*) AS line_count, SUM(epo.NETWR) AS total_netwr, AVG(epo.NETWR) AS avg_line_value FROM main_staging.stg_sap__ekko eko JOIN main_staging.stg_sap__ekpo epo ON eko.EBELN = epo.EBELN WHERE eko.LIFNR IS NOT NULL AND epo.NETWR IS NOT NULL GROUP BY eko.LIFNR ORDER BY total_netwr DESC LIMIT 10",8 rows. Validate spend aggregation logic and identify top vendors by spend value to assess concentration risk potential,EKKO;EKPO,LIFNR;EBELN;NETWR,8,Verify NETWR represents the spend value we need for concentration calculation,,Claude API,2026-04-16,validated
AF011,BG010,validate,Test quarterly aggregation using PO creation dates,"SELECT EXTRACT(YEAR FROM BEDAT) AS po_year, EXTRACT(QUARTER FROM BEDAT) AS po_quarter, COUNT(DISTINCT LIFNR) AS vendor_count, COUNT(DISTINCT EBELN) AS po_count, COUNT(*) AS total_records FROM main_staging.stg_sap__ekko WHERE BEDAT IS NOT NULL GROUP BY EXTRACT(YEAR FROM BEDAT), EXTRACT(QUARTER FROM BEDAT) ORDER BY po_year, po_quarter",9 rows. Confirm quarterly grouping capability and data distribution across quarters for the concentration risk metric grain,EKKO,BEDAT;LIFNR;EBELN,9,Validate date quality and ensure complete quarters for meaningful concentration analysis,,Claude API,2026-04-16,validated
